xflr5 v6.47

E387
Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  5.000       0.023     0.913    -0.084     0.632     1.000    0.0000  -1.4612
 Cpi          Cpv
 0.1895    0.1258
 0.1482    0.1142
 0.0910    0.0945
 0.0401    0.0695
 0.0021    0.0409
-0.0333    0.0031
-0.0682   -0.0605
-0.1070   -0.1872
-0.1498   -0.3887
-0.1975   -0.4103
-0.2510   -0.4170
-0.3098   -0.4239
-0.3809   -0.4327
-0.4590   -0.4472
-0.5350   -0.4740
-0.5987   -0.5181
-0.6500   -0.5752
-0.6848   -0.6219
-0.6998   -0.6466
-0.6899   -0.6487
-0.6768   -0.6417
-0.6587   -0.6275
-0.6364   -0.6065
-0.6046   -0.5748
-0.5592   -0.5286
-0.4948   -0.4634
-0.3974   -0.3580
-0.2485   -0.2158
-0.0107    0.0425
 0.3551    0.3868
 0.8638    0.8941
 0.3844    0.3473
-0.0079   -0.0703
-0.0858   -0.0981
-0.0904   -0.1217
-0.0731   -0.0934
-0.0460   -0.0661
-0.0215   -0.0396
 0.0019   -0.0152
 0.0224    0.0064
 0.0417    0.0259
 0.0584    0.0431
 0.0729    0.0579
 0.0858    0.0709
 0.0977    0.0824
 0.1079    0.0924
 0.1172    0.1011
 0.1254    0.1087
 0.1332    0.1153
 0.1398    0.1208
 0.1463    0.1256
 0.1518    0.1290
 0.1579    0.1316
 0.1626    0.1331
 0.1679    0.1336
 0.1718    0.1329
 0.1835    0.1325
 0.2026    0.1319
 0.2193    0.1304
 0.2214    0.1341


Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  0.000       0.016     0.411    -0.093     0.791     1.000    0.0000  -0.6147
 Cpi          Cpv
-----------------
 0.2205    0.1332
 0.1893    0.1250
 0.1488    0.1135
 0.0924    0.0940
 0.0426    0.0685
 0.0056    0.0371
-0.0287   -0.0090
-0.0625   -0.0905
-0.0999   -0.2353
-0.1412   -0.3729
-0.1872   -0.3801
-0.2389   -0.3867
-0.2954   -0.3940
-0.3640   -0.4039
-0.4391   -0.4206
-0.5117   -0.4505
-0.5718   -0.4978
-0.6192   -0.5533
-0.6499   -0.5952
-0.6606   -0.6147
-0.6465   -0.6114
-0.6285   -0.5992
-0.6048   -0.5792
-0.5759   -0.5517
-0.5363   -0.5126
-0.4816   -0.4575
-0.4059   -0.3816
-0.2951   -0.2649
-0.1304   -0.1052
 0.1242    0.1612
 0.4916    0.5139
 0.9549    0.9661
 0.0594    0.0551
-0.1944   -0.2646
-0.2214   -0.2210
-0.1883   -0.2140
-0.1486   -0.1656
-0.1060   -0.1233
-0.0707   -0.0865
-0.0393   -0.0545
-0.0127   -0.0270
 0.0114   -0.0028
 0.0321    0.0181
 0.0498    0.0361
 0.0654    0.0518
 0.0796    0.0655
 0.0918    0.0775
 0.1028    0.0880
 0.1126    0.0971
 0.1219    0.1051
 0.1297    0.1118
 0.1374    0.1177
 0.1440    0.1223
 0.1511    0.1259
 0.1567    0.1283
 0.1630    0.1297
 0.1677    0.1299
 0.1803    0.1303
 0.2001    0.1303
 0.2176    0.1295
 0.2205    0.1332


Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 -0.500       0.016     0.358    -0.094     0.807     1.000    0.0000  -0.5831
 Cpi          Cpv
-----------------
 0.2197    0.1330
 0.1893    0.1246
 0.1495    0.1130
 0.0940    0.0934
 0.0451    0.0671
 0.0092    0.0325
-0.0240   -0.0222
-0.0566   -0.1215
-0.0927   -0.2762
-0.1325   -0.3438
-0.1768   -0.3507
-0.2266   -0.3575
-0.2810   -0.3655
-0.3470   -0.3768
-0.4192   -0.3961
-0.4884   -0.4292
-0.5449   -0.4793
-0.5885   -0.5320
-0.6151   -0.5688
-0.6217   -0.5831
-0.6034   -0.5748
-0.5807   -0.5574
-0.5515   -0.5318
-0.5163   -0.4981
-0.4693   -0.4518
-0.4058   -0.3886
-0.3196   -0.3018
-0.1964   -0.1773
-0.0180    0.0015
 0.2496    0.2700
 0.6119    0.6260
 0.9969    0.9980
-0.3340   -0.2833
-0.3964   -0.4780
-0.3648   -0.3504
-0.2902   -0.3077
-0.2264   -0.2394
-0.1674   -0.1817
-0.1209   -0.1341
-0.0812   -0.0941
-0.0482   -0.0606
-0.0192   -0.0316
 0.0055   -0.0069
 0.0265    0.0144
 0.0449    0.0327
 0.0615    0.0488
 0.0757    0.0628
 0.0885    0.0750
 0.0999    0.0857
 0.1106    0.0951
 0.1197    0.1031
 0.1285    0.1101
 0.1362    0.1159
 0.1443    0.1206
 0.1510    0.1240
 0.1581    0.1264
 0.1637    0.1276
 0.1771    0.1288
 0.1978    0.1295
 0.2161    0.1294
 0.2197    0.1330


Reynolds =  100000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 -1.000       0.015     0.310    -0.095     0.825     1.000    0.0000  -0.8222
 Cpi          Cpv
-----------------
 0.2191    0.1363
 0.1894    0.1270
